2026-06-25 11:03:56 - __main__ - INFO - Filename: overlap_corr.py started.
2026-06-25 11:04:17 - __main__ - INFO - 1 encoding is done!
2026-06-25 11:04:38 - __main__ - INFO - 2 encoding is done!
2026-06-25 11:04:59 - __main__ - INFO - 3 encoding is done!
2026-06-25 11:05:20 - __main__ - INFO - 4 encoding is done!
2026-06-25 11:05:42 - __main__ - INFO - 5 encoding is done!
2026-06-25 11:06:04 - __main__ - INFO - 6 encoding is done!
2026-06-25 11:06:26 - __main__ - INFO - 7 encoding is done!
2026-06-25 11:06:47 - __main__ - INFO - 8 encoding is done!
2026-06-25 11:07:08 - __main__ - INFO - 9 encoding is done!
2026-06-25 11:07:28 - __main__ - INFO - 10 encoding is done!
2026-06-25 11:07:50 - __main__ - INFO - 11 encoding is done!
2026-06-25 11:08:12 - __main__ - INFO - 12 encoding is done!
2026-06-25 11:08:34 - __main__ - INFO - 13 encoding is done!
