encoding,auroc,f1,task,model,dataset
WCYKMVHQFDGRLITNEASP,0.8802680350086542,0.8804780876494024,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8051480193331374,0.8174904942965779,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8845971718755102,0.8802456499488229,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8143900427810978,0.8210116731517509,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8821029685509943,0.8862973760932945,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8155493778779269,0.8260038240917782,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8752673818621207,0.8822966507177034,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.810444629502629,0.8213944603629417,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.856683321903269,0.8696461824953445,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8115039515365272,0.8221797323135756,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8117203063257242,0.8458904109589042,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.818247689494138,0.8300094966761633,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8641067404722249,0.8818755635707844,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8123673296103981,0.8190661478599222,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8573507560171125,0.8642925890279115,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8103486986055322,0.8217349857006673,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8500477613402567,0.8723404255319149,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.807654469155155,0.8222013170272813,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8278019986283922,0.856396866840731,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8011025929917377,0.8136882129277566,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.861020623101793,0.8760330578512396,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8139103882956141,0.8227360308285164,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8717934587374677,0.8735177865612648,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8220971718755102,0.8301158301158301,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8656457169916071,0.8816029143897997,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8057236047157179,0.8153846153846154,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.840509780869338,0.8620071684587813,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8226768394239247,0.8325358851674641,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8685277260703439,0.8781869688385269,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8220971718755102,0.8301158301158301,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8841256817216943,0.8882410106899903,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.7980205577871397,0.8110161443494777,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8895223049541164,0.8954937679769894,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8128510662617159,0.821944177093359,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8684358773390811,0.8817005545286506,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8156453087750236,0.8256704980842912,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8691114757845922,0.8833792470156107,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8187273439796219,0.8283796740172579,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8159535122954835,0.8451443569553806,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8141981809869043,0.8217054263565892,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8812395904771235,0.8882521489971347,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8145859867411254,0.8248803827751197,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8236606413898958,0.8531711555169418,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8199785278077136,0.8285163776493256,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8874955096175827,0.8904109589041096,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8283571731818034,0.8352713178294574,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8546646908984031,0.8712328767123287,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8112161588452369,0.8231939163498099,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8538972437216289,0.873087308730873,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8153534339178994,0.8221574344023324,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8688114365958003,0.874031007751938,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8088056399203162,0.8180943214629451,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8726690833088403,0.8817407757805109,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8083300676006661,0.8242990654205608,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8749755070049965,0.8796116504854369,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8071707325038373,0.8193916349809885,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8825867052023122,0.8884615384615384,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8077463178864179,0.8173076923076923,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.878645374089677,0.8907407407407407,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8121795499820385,0.8243114909781576,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8670805982822246,0.874880611270296,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8082300545377356,0.8201712654614652,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.7878437183632148,0.8356500408830744,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8123714117762321,0.8236415633937083,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.7940955553378402,0.832625318606627,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8052439502302341,0.8171428571428572,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8682358512132196,0.8754789272030651,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8025497207798569,0.8176691729323309,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8636230038209072,0.8797814207650273,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8093853074687306,0.8206106870229007,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8614084288560139,0.8784029038112523,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.811983606022011,0.8204633204633205,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8820070376538977,0.8865179437439379,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8123673296103981,0.8190661478599222,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8777656673524705,0.8796844181459567,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8192069984651057,0.8267182962245886,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8793128082035204,0.8861244019138756,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8047683779105843,0.8233117483811286,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.867068351784723,0.8638211382113821,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8053398811273309,0.816793893129771,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8473494497240455,0.8688670829616414,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8029293622024101,0.8115942028985508,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8762389373305901,0.8897058823529411,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8098690441200483,0.8234183191690274,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8725690702459097,0.8786127167630058,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8137185265014206,0.8234165067178503,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8671846935109891,0.8813247470101196,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8040886972992392,0.8167141500474834,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8747877273766368,0.8834123222748815,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8111161457823063,0.818973862536302,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8809436334541655,0.8822947576656776,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8126592044675223,0.822627037392138,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8546646908984031,0.8712328767123287,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8062073413670358,0.8182683158896289,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8543728160412789,0.8685185185185185,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8133348029130336,0.8247619047619048,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.853505355801574,0.8672237697307336,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8193029293622024,0.8263821532492726,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8804639789686817,0.8834476003917727,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8171842852944058,0.8247821878025169,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8652538290715522,0.8759398496240601,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.808038192743542,0.8208530805687204,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8687114235328696,0.8706811451135242,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8131388589530061,0.8209099709583737,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8820070376538977,0.8865179437439379,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8123714117762321,0.8236415633937083,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8636025929917377,0.8620342396777442,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8094812383658274,0.8202676864244742,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8296797949119886,0.8053392658509455,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8064951340583261,0.8172248803827751,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8861565592240619,0.896358543417367,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8033171679566312,0.8148854961832062,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8265508148003005,0.8561525129982669,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8133348029130336,0.8247619047619048,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8684317951732471,0.8784165881244109,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8018741223343457,0.815515610217597,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8743080728911531,0.8845070422535212,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8063032722641325,0.8179218303145853,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8742080598282224,0.8814531548757171,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8112202410110708,0.8275862068965517,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8650619672773587,0.8764044943820225,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8068788576467131,0.8158148505303761,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8540891055158225,0.8726287262872628,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8095771692629241,0.8199233716475096,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8308840338329904,0.8588850174216028,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.7840615917181021,0.8065994500458296,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8728527807713661,0.874381800197824,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8056358381502889,0.8247232472324724,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8730528068972274,0.880838894184938,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8088097220861501,0.8226415094339623,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8752673818621207,0.8822966507177034,binary,resnet,immune
