encoding,auroc,f1,task,type,dataset
WCYKMVHQFDGRLITNEASP,0.7465217609683819,0.8157043879907622,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.745055403478518,0.8317180616740089,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7624968259150433,0.779874213836478,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7444317481046179,0.8287488908606921,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7407302767244002,0.7806096951524237,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7459008959988391,0.8303057155516171,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7594301715261559,0.8150261531145981,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.741582745255615,0.8272807794508414,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7362272616924919,0.7153536515238643,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7531566449294168,0.8322147651006712,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7494998200189189,0.7851031706089582,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7453665335643787,0.8289649044868947,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7549766861715932,0.799017199017199,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7498179261156734,0.8302055406613047,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.712337912386884,0.8244210526315789,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7475032857011308,0.8300711743772242,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7381072966283544,0.804490177736202,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.744297808695458,0.8262617239839214,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7410358260015459,0.7270668176670442,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7470135697363904,0.8295505117935025,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7385530637244642,0.8088847755668672,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7426961165942556,0.8307692307692308,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7489598767757436,0.7342776203966006,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7533352308082963,0.8354767184035476,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.715987761286488,0.8236294092647684,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7475925786405708,0.8317094774136404,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7464261896191378,0.7667364016736402,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7467017420494403,0.8280482358195623,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7463389894829661,0.7816439737771054,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7431851349579068,0.8270342374388617,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7737651763116995,0.8292452830188679,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7520439711918654,0.8329621380846325,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7541709569133663,0.7628755364806867,binary,resnet,deeploc
