f1,dataset,model,odr,rank
0.5778179056051304,Pfam,custom,0.6,q3
0.5574287161406658,Pfam,custom,0.6,q3
0.599382868055811,Pfam,custom,0.7,q3
0.5890837288599149,Pfam,custom,0.7,q3
0.6006802136750744,Pfam,custom,0.7,q3
0.5865937104301893,Pfam,custom,0.7,q3
0.602111977457223,Pfam,custom,0.7,q3
0.5964582915980667,Pfam,custom,0.7,q3
0.592057075752694,Pfam,custom,0.7,q3
0.588680590288372,Pfam,custom,0.7,q3
0.6007340843741356,Pfam,custom,0.7,q3
0.5940958189732297,Pfam,custom,0.7,q3
0.5711925282161221,Pfam,custom,0.8,q3
0.5610539396083769,Pfam,custom,0.8,q3
0.5632264313716538,Pfam,custom,0.8,q3
0.5700291933441572,Pfam,custom,0.8,q3
0.5387776862940582,Pfam,custom,0.8,q3
0.5463609885178813,Pfam,custom,0.8,q3
0.5614462050318878,Pfam,custom,0.8,q3
0.5518808943421946,Pfam,custom,0.8,q3
0.5732582380288334,Pfam,custom,0.8,q3
0.5614098585331526,Pfam,custom,0.8,q3
0.6044295325208233,Pfam,custom,0.9,q3
0.5918654720974753,Pfam,custom,0.9,q3
0.5945364282243719,Pfam,custom,0.9,q3
0.5966967084942407,Pfam,custom,0.9,q3
0.6029331755347579,Pfam,custom,0.9,q3
0.6091160699912919,Pfam,custom,0.9,q3
0.6031480789377188,Pfam,custom,0.9,q3
0.6012657641397914,Pfam,custom,0.9,q3
0.6038077571593682,Pfam,custom,0.9,q3
0.5973652387426128,Pfam,custom,0.9,q3
0.5867566137720106,Pfam,custom,0.5,q2
0.5830686443416951,Pfam,custom,0.5,q2
0.5849656403900407,Pfam,custom,0.5,q2
0.583724051780861,Pfam,custom,0.5,q2
0.5724945409876335,Pfam,custom,0.5,q2
0.5826695288327499,Pfam,custom,0.5,q2
0.5813265092813613,Pfam,custom,0.5,q2
0.5921487232664159,Pfam,custom,0.5,q2
0.5773110385944028,Pfam,custom,0.5,q2
0.5790093732360638,Pfam,custom,0.5,q2
0.5752091981166201,Pfam,custom,0.6,q2
0.5867145292769458,Pfam,custom,0.6,q2
0.580225857919753,Pfam,custom,0.6,q2
0.5738286997847432,Pfam,custom,0.6,q2
0.5909656209265749,Pfam,custom,0.6,q2
0.5896478268202532,Pfam,custom,0.6,q2
0.5815747158408806,Pfam,custom,0.6,q2
0.5841751911635338,Pfam,custom,0.6,q2
0.5828978600718261,Pfam,custom,0.6,q2
0.5812867120618265,Pfam,custom,0.6,q2
0.6010582442229189,Pfam,custom,0.7,q2
0.6005633680646179,Pfam,custom,0.7,q2
0.600962532110462,Pfam,custom,0.7,q2
0.5948363723526393,Pfam,custom,0.7,q2
0.5977914163575803,Pfam,custom,0.7,q2
0.603778383571192,Pfam,custom,0.7,q2
0.5970991503649012,Pfam,custom,0.7,q2
0.6070811689409141,Pfam,custom,0.7,q2
0.6061146666690513,Pfam,custom,0.7,q2
0.6045399627661481,Pfam,custom,0.7,q2
0.5770662622270999,Pfam,custom,0.8,q2
0.5845876604632088,Pfam,custom,0.8,q2
0.572688631312004,Pfam,custom,0.8,q2
0.5804882742083659,Pfam,custom,0.8,q2
0.5746549894600612,Pfam,custom,0.8,q2
0.5868634183575603,Pfam,custom,0.8,q2
0.584273537381716,Pfam,custom,0.8,q2
0.5706630701469214,Pfam,custom,0.8,q2
0.5759028106486012,Pfam,custom,0.8,q2
0.5761727960859938,Pfam,custom,0.8,q2
0.6102074094278546,Pfam,custom,0.9,q2
0.5999230012946704,Pfam,custom,0.9,q2
0.6040608086979935,Pfam,custom,0.9,q2
0.6053776723050207,Pfam,custom,0.9,q2
0.6022597191691711,Pfam,custom,0.9,q2
0.6091410155058423,Pfam,custom,0.9,q2
0.6065352211872856,Pfam,custom,0.9,q2
0.5991822330080829,Pfam,custom,0.9,q2
0.6017255184589599,Pfam,custom,0.9,q2
0.6094943686898325,Pfam,custom,0.9,q2
0.5423674277243188,Pfam,custom,0.3,mix
0.5394578756693929,Pfam,custom,0.3,mix
0.5385991405955212,Pfam,custom,0.3,mix
0.5458108025875682,Pfam,custom,0.3,mix
0.5596559603749756,Pfam,custom,0.3,mix
0.5535862790260819,Pfam,custom,0.3,mix
0.5562009274253807,Pfam,custom,0.3,mix
0.5590794009744376,Pfam,custom,0.3,mix
0.559123163674214,Pfam,custom,0.3,mix
0.5498454815640581,Pfam,custom,0.3,mix
0.5558253686487108,Pfam,custom,0.4,mix
0.564430936570307,Pfam,custom,0.4,mix
0.5629881223105988,Pfam,custom,0.4,mix
0.5642119348855733,Pfam,custom,0.4,mix
0.5567479310364052,Pfam,custom,0.4,mix
0.5607212020499046,Pfam,custom,0.4,mix
0.5565832929588792,Pfam,custom,0.4,mix
0.559533522791269,Pfam,custom,0.4,mix
0.5621288069146474,Pfam,custom,0.4,mix
0.5510603211308283,Pfam,custom,0.4,mix
0.5845005006455241,Pfam,custom,0.5,mix
0.5812525663211136,Pfam,custom,0.5,mix
0.5865824954039411,Pfam,custom,0.5,mix
0.5832178851974057,Pfam,custom,0.5,mix
0.5831358132991956,Pfam,custom,0.5,mix
0.5809341733200803,Pfam,custom,0.5,mix
0.578939653924283,Pfam,custom,0.5,mix
0.5802307376441338,Pfam,custom,0.5,mix
0.5969780729473391,Pfam,custom,0.5,mix
0.5770657698381656,Pfam,custom,0.5,mix
0.5811882796934305,Pfam,custom,0.6,mix
0.5848463741062088,Pfam,custom,0.6,mix
0.5823163048889521,Pfam,custom,0.6,mix
0.5677485446342803,Pfam,custom,0.6,mix
0.5825294210382179,Pfam,custom,0.6,mix
0.5890234919857391,Pfam,custom,0.6,mix
0.5803804528627335,Pfam,custom,0.6,mix
0.5897140125595491,Pfam,custom,0.6,mix
0.5857395253396598,Pfam,custom,0.6,mix
0.5762015693261275,Pfam,custom,0.6,mix
0.5926609058199153,Pfam,custom,0.7,mix
0.5756706681111141,Pfam,custom,0.7,mix
0.5895909588145198,Pfam,custom,0.7,mix
0.5911989267064562,Pfam,custom,0.7,mix
0.5940751355098273,Pfam,custom,0.7,mix
0.592220963448865,Pfam,custom,0.7,mix
0.580106140329845,Pfam,custom,0.7,mix
0.5685612898350454,Pfam,custom,0.7,mix
0.5794608875001338,Pfam,custom,0.7,mix
0.5769814465775328,Pfam,custom,0.7,mix
0.5695025823814448,Pfam,custom,0.8,mix
0.5801385841298506,Pfam,custom,0.8,mix
0.562888141703869,Pfam,custom,0.8,mix
0.5719995007957781,Pfam,custom,0.8,mix
0.5739755893050162,Pfam,custom,0.8,mix
0.57874168260786,Pfam,custom,0.8,mix
0.569013082100174,Pfam,custom,0.8,mix
0.5709433161157069,Pfam,custom,0.8,mix
0.5689625905040641,Pfam,custom,0.8,mix
0.5726235590246409,Pfam,custom,0.8,mix
0.6006513775143102,Pfam,custom,0.9,mix
0.60643063245453,Pfam,custom,0.9,mix
0.6174694914701887,Pfam,custom,0.9,mix
0.6079912310610467,Pfam,custom,0.9,mix
0.5983913543414489,Pfam,custom,0.9,mix
0.6033268987175697,Pfam,custom,0.9,mix
0.6002579215811333,Pfam,custom,0.9,mix
0.6094098298602671,Pfam,custom,0.9,mix
0.6110882995630591,Pfam,custom,0.9,mix
0.6086973549854953,Pfam,custom,0.9,mix
0.6874765704831587,Pfam,resnet,0.5,max
0.7040664553018757,Pfam,resnet,0.5,max
0.7071372742761287,Pfam,resnet,0.5,max
0.6886439988644503,Pfam,resnet,0.5,max
0.7019397496047604,Pfam,resnet,0.5,max
0.6644094159091988,Pfam,resnet,0.5,max
0.6703691003946591,Pfam,resnet,0.5,max
0.6810300704621529,Pfam,resnet,0.5,max
0.7043136389239454,Pfam,resnet,0.5,max
0.6849006509901618,Pfam,resnet,0.5,max
0.6787242051497465,Pfam,resnet,0.6,max
0.7081963992842183,Pfam,resnet,0.6,max
0.6897968194833888,Pfam,resnet,0.6,max
0.6949732149366233,Pfam,resnet,0.6,max
0.7183336966882146,Pfam,resnet,0.6,max
0.7013976709640118,Pfam,resnet,0.6,max
0.7046299161406402,Pfam,resnet,0.6,max
0.7029658416085782,Pfam,resnet,0.6,max
0.6893352041551346,Pfam,resnet,0.6,max
0.7078428239250318,Pfam,resnet,0.6,max
0.6927781393581804,Pfam,resnet,0.7,max
0.7176390690066027,Pfam,resnet,0.7,max
0.6914329129219523,Pfam,resnet,0.7,max
0.709790206648648,Pfam,resnet,0.7,max
0.7186430573381246,Pfam,resnet,0.7,max
0.7301103769172901,Pfam,resnet,0.7,max
0.7028039144469485,Pfam,resnet,0.7,max
0.7040579560611011,Pfam,resnet,0.7,max
0.7372961576413893,Pfam,resnet,0.7,max
0.6782434691502675,Pfam,resnet,0.7,max
0.7169816703424083,Pfam,resnet,0.8,max
0.7110449001704897,Pfam,resnet,0.8,max
0.722803801397012,Pfam,resnet,0.8,max
0.7120163521956366,Pfam,resnet,0.8,max
0.7377508493198347,Pfam,resnet,0.8,max
0.6866084015651424,Pfam,resnet,0.8,max
0.709197138610888,Pfam,resnet,0.8,max
0.7260011161353657,Pfam,resnet,0.8,max
0.7169911748087324,Pfam,resnet,0.8,max
0.7108648638388944,Pfam,resnet,0.8,max
0.7331839067071197,Pfam,resnet,0.9,max
0.7443499442717949,Pfam,resnet,0.9,max
0.7435170046407692,Pfam,resnet,0.9,max
0.7487723526694473,Pfam,resnet,0.9,max
0.7421743104172451,Pfam,resnet,0.9,max
0.7227715224437978,Pfam,resnet,0.9,max
0.7419348447087872,Pfam,resnet,0.9,max
0.7540923341649265,Pfam,resnet,0.9,max
0.7482609425350214,Pfam,resnet,0.9,max
0.7414213030554697,Pfam,resnet,0.9,max
0.7059594501558478,Pfam,resnet,0.5,q1
0.5553461210035148,Pfam,resnet,0.5,q1
0.647026228928509,Pfam,resnet,0.5,q1
0.6920292555789326,Pfam,resnet,0.5,q1
0.6557902092599077,Pfam,resnet,0.5,q1
0.6704524163417501,Pfam,resnet,0.5,q1
0.6882410727719213,Pfam,resnet,0.5,q1
0.6897376378807112,Pfam,resnet,0.5,q1
0.6736395006081104,Pfam,resnet,0.5,q1
0.6640752621295329,Pfam,resnet,0.5,q1
0.7081767413467043,Pfam,resnet,0.6,q1
0.6864182651996448,Pfam,resnet,0.6,q1
0.6647304567028287,Pfam,resnet,0.6,q1
0.6993153274672588,Pfam,resnet,0.6,q1
0.6869493870657661,Pfam,resnet,0.6,q1
0.6724639452013089,Pfam,resnet,0.6,q1
0.7092786087200441,Pfam,resnet,0.6,q1
0.6952636437163248,Pfam,resnet,0.6,q1
0.6970950173522299,Pfam,resnet,0.6,q1
0.7060734109407563,Pfam,resnet,0.6,q1
0.7010922587764409,Pfam,resnet,0.7,q1
0.6447311175497175,Pfam,resnet,0.7,q1
0.7497280272029268,Pfam,resnet,0.7,q1
0.6871069086233762,Pfam,resnet,0.7,q1
0.7018777208471378,Pfam,resnet,0.7,q1
0.6569995713890106,Pfam,resnet,0.7,q1
0.7529281611303428,Pfam,resnet,0.7,q1
0.636873259112508,Pfam,resnet,0.7,q1
0.653890401187129,Pfam,resnet,0.7,q1
0.7078842509642286,Pfam,resnet,0.7,q1
0.7333019235998632,Pfam,resnet,0.8,q1
0.7056092205593197,Pfam,resnet,0.8,q1
0.70145025035194,Pfam,resnet,0.8,q1
0.7319787707119771,Pfam,resnet,0.8,q1
0.7185774014934269,Pfam,resnet,0.8,q1
0.7100945368245031,Pfam,resnet,0.8,q1
0.7116274025523401,Pfam,resnet,0.8,q1
0.6785973293233916,Pfam,resnet,0.8,q1
0.7148192649000787,Pfam,resnet,0.8,q1
0.698972116768268,Pfam,resnet,0.8,q1
0.7443139364962732,Pfam,resnet,0.9,q1
0.7082773908706563,Pfam,resnet,0.9,q1
0.721167525422795,Pfam,resnet,0.9,q1
0.6879516909000065,Pfam,resnet,0.9,q1
0.756435265067216,Pfam,resnet,0.9,q1
0.7396811442895377,Pfam,resnet,0.9,q1
0.6799344850056807,Pfam,resnet,0.9,q1
0.719448910701863,Pfam,resnet,0.9,q1
0.7360040913746524,Pfam,resnet,0.9,q1
0.7570090374651448,Pfam,resnet,0.9,q1
0.5526815131758622,Pfam,resnet,0.5,q3
0.7014568712027385,Pfam,resnet,0.5,q3
0.6935883300661626,Pfam,resnet,0.5,q3
0.5919800724369423,Pfam,resnet,0.5,q3
0.6935864448630163,Pfam,resnet,0.5,q3
0.6532098278762025,Pfam,resnet,0.5,q3
0.6923882996476937,Pfam,resnet,0.5,q3
0.6703265647106126,Pfam,resnet,0.5,q3
0.6551763448349076,Pfam,resnet,0.5,q3
0.6550687481470259,Pfam,resnet,0.5,q3
0.7290416946626147,Pfam,resnet,0.6,q3
0.7352528203929972,Pfam,resnet,0.6,q3
0.7134792897346409,Pfam,resnet,0.6,q3
0.7183374880778904,Pfam,resnet,0.6,q3
0.7055022807319318,Pfam,resnet,0.6,q3
0.7188432435683023,Pfam,resnet,0.6,q3
0.6988478860221116,Pfam,resnet,0.6,q3
0.6863637877838107,Pfam,resnet,0.6,q3
0.7115650986585198,Pfam,resnet,0.6,q3
0.7311537688248875,Pfam,resnet,0.6,q3
0.7027081057017155,Pfam,resnet,0.7,q3
0.7192040988320902,Pfam,resnet,0.7,q3
0.6830950453190953,Pfam,resnet,0.7,q3
0.6951474195062386,Pfam,resnet,0.7,q3
0.7029610790187741,Pfam,resnet,0.7,q3
0.7298431192594041,Pfam,resnet,0.7,q3
0.7072167609304041,Pfam,resnet,0.7,q3
0.7173815226101524,Pfam,resnet,0.7,q3
0.6730725300118826,Pfam,resnet,0.7,q3
0.7069764532729182,Pfam,resnet,0.7,q3
0.7106402371585137,Pfam,resnet,0.8,q3
0.7194823372285087,Pfam,resnet,0.8,q3
0.6982966967192819,Pfam,resnet,0.8,q3
0.7077668145009992,Pfam,resnet,0.8,q3
0.7531012348868604,Pfam,resnet,0.8,q3
0.734001192495662,Pfam,resnet,0.8,q3
0.7053449753654994,Pfam,resnet,0.8,q3
0.6959374788642878,Pfam,resnet,0.8,q3
0.7030730407078247,Pfam,resnet,0.8,q3
0.7069342404660018,Pfam,resnet,0.8,q3
