Accuracy,Class0_Accuracy,Class1_Accuracy,Train_Class0_Count,Train_Class1_Count,Dataset,Ratio
0.49964362081254454,0.0,1.0,6313,6313,Mix,0.3
0.49750534568781185,0.01566951566951567,0.9800285306704708,6313,6313,Mix,0.3
0.49964362081254454,0.0,1.0,6313,6313,Mix,0.3
0.49964362081254454,0.0,1.0,6313,6313,Mix,0.3
0.49964362081254454,0.0,1.0,6313,6313,Mix,0.3
0.49964362081254454,0.0,1.0,6312,6314,Mix,0.3
0.5017818959372773,0.007122507122507123,0.9971469329529244,6312,6314,Mix,0.3
0.49964362081254454,0.0,1.0,6312,6314,Mix,0.3
0.49964362081254454,0.0,1.0,6312,6314,Mix,0.3
0.49964362081254454,0.0,1.0,6313,6314,Mix,0.3
0.5003563791874555,0.038461538461538464,0.9629101283880172,4734,4734,Mix,0.4
0.5003563791874555,0.0014245014245014246,1.0,4734,4735,Mix,0.4
0.5103349964362082,0.038461538461538464,0.9828815977175464,4734,4735,Mix,0.4
0.5595153243050606,0.5897435897435898,0.5292439372325249,4734,4735,Mix,0.4
0.4989308624376336,0.0,0.9985734664764622,4734,4735,Mix,0.4
0.5117605131860299,0.05698005698005698,0.9671897289586305,4734,4735,Mix,0.4
0.5017818959372773,0.024216524216524215,0.9800285306704708,4734,4735,Mix,0.4
0.5345687811831789,0.44017094017094016,0.6291012838801712,4734,4735,Mix,0.4
0.5459729151817534,0.4415954415954416,0.6504992867332382,4734,4735,Mix,0.4
0.5409836065573771,0.41452991452991456,0.6676176890156919,4734,4735,Mix,0.4
0.5844618674269423,0.7250712250712251,0.44365192582025675,3787,3788,Mix,0.5
0.5801853171774768,0.6951566951566952,0.46504992867332384,3787,3788,Mix,0.5
0.5759087669280114,0.688034188034188,0.463623395149786,3787,3788,Mix,0.5
0.5780470420527442,0.6866096866096866,0.4693295292439372,3787,3788,Mix,0.5
0.5766215253029223,0.6923076923076923,0.4607703281027104,3787,3788,Mix,0.5
0.5630791161796151,0.6438746438746439,0.48216833095577744,3787,3788,Mix,0.5
0.5773342836778332,0.6923076923076923,0.46219686162624823,3787,3788,Mix,0.5
0.5801853171774768,0.7136752136752137,0.44650499286733236,3788,3788,Mix,0.5
0.5694939415538133,0.6538461538461539,0.48502139800285304,3788,3788,Mix,0.5
0.5816108339272986,0.7606837606837606,0.40228245363766046,3787,3789,Mix,0.5
0.5260156806842481,0.33760683760683763,0.7146932952924394,3156,3157,Mix,0.6
0.5873129009265858,0.7364672364672364,0.43794579172610554,3156,3157,Mix,0.6
0.5908766928011404,0.7507122507122507,0.43081312410841655,3156,3157,Mix,0.6
0.5751960085531005,0.6680911680911681,0.48216833095577744,3156,3157,Mix,0.6
0.5680684248039914,0.5484330484330484,0.5877318116975749,3156,3157,Mix,0.6
0.5851746258018532,0.7350427350427351,0.43509272467902993,3157,3157,Mix,0.6
0.5808980755523877,0.717948717948718,0.44365192582025675,3157,3157,Mix,0.6
0.5409836065573771,0.47293447293447294,0.609129814550642,3157,3157,Mix,0.6
0.6001425516749822,0.8988603988603988,0.30099857346647646,3156,3158,Mix,0.6
0.5081967213114754,0.0754985754985755,0.9415121255349501,3156,3158,Mix,0.6
0.5972915181753385,0.792022792022792,0.40228245363766046,2704,2705,Mix,0.7
0.5887384176764077,0.6866096866096866,0.49072753209700426,2705,2705,Mix,0.7
