Accuracy,Name
0.6690391459074733,Min
0.6672597864768683,Min
0.6167557932263814,Min
0.6470588235294118,Min
0.6524064171122995,Min
0.6470588235294118,Min
0.6470588235294118,Min
0.6559714795008913,Min
0.6648841354723708,Min
0.6916221033868093,Min
0.7153024911032029,Q1
0.6850533807829181,Q1
0.6399286987522281,Q1
0.6755793226381461,Q1
0.6666666666666666,Q1
0.6559714795008913,Q1
0.6417112299465241,Q1
0.6755793226381461,Q1
0.679144385026738,Q1
0.7219251336898396,Q1
0.7064056939501779,Q2
0.6886120996441281,Q2
0.6470588235294118,Q2
0.6862745098039216,Q2
0.679144385026738,Q2
0.6577540106951871,Q2
0.6631016042780749,Q2
0.6755793226381461,Q2
0.6773618538324421,Q2
0.7058823529411765,Q2
0.6957295373665481,Q3
0.701067615658363,Q3
0.6488413547237076,Q3
0.6773618538324421,Q3
0.679144385026738,Q3
0.6506238859180036,Q3
0.661319073083779,Q3
0.6595365418894831,Q3
0.6987522281639929,Q3
0.7094474153297683,Q3
0.7117437722419929,Max
0.7224199288256228,Max
0.6631016042780749,Max
0.7094474153297683,Max
0.6844919786096256,Max
0.661319073083779,Max
0.6755793226381461,Max
0.6987522281639929,Max
0.6934046345811051,Max
0.7397504456327986,Max
