encoding,auroc,accuracy,task,model,dataset
WCYKMVHQFDGRLITNEASP,0.7404156532744164,0.3519711824179365,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.7994091901097937,0.41943835502660437,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.7187520270139535,0.33885634818754207,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.8074429741273091,0.45091733403784906,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.7286311450200056,0.3777794874586421,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.808102824222108,0.4672003778148938,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.7285976327097881,0.32385198157050277,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.8087172507691225,0.4097608937936611,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.7209649962027929,0.3014380859170621,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.8115639258914049,0.4144503192580552,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.7334703737944761,0.394921066393647,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.8076476608116115,0.4581931669194706,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.7301559390479142,0.3356553132086576,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.8100518762812552,0.45066332922542857,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.7111998026013012,0.34117086527718893,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.8104334277089439,0.4301258938211344,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.7255729442226064,0.4048841517018662,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.8077631722097843,0.4034575380755617,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.7366115383794407,0.3748847349706804,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.8074957743962674,0.46411495048894924,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.7617505706634659,0.42727064825318556,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.8069062932989517,0.4693342096148645,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.7249286952126578,0.34347382179147035,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.8083937108022022,0.46069578433333,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.7416963813953238,0.42599238124825806,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.8054593024860586,0.41129743574620264,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.6985889409893609,0.30785980784907996,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.8077519401802575,0.4042820721959404,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.7387429260408857,0.4231658659905138,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.7974412155254476,0.38260765121872986,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.7437853328187991,0.3787531619747042,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.8059308384285858,0.4066278414182958,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.7694376819473577,0.4483030770688405,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.8071669175959724,0.39848722531486097,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.7156167463313541,0.3552558299228818,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.8028747157996989,0.45377015925514497,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.7235611374208799,0.34779137868689364,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.8064210963786724,0.40122907063251156,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.7318135427114655,0.40026711024077877,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.8080880608968763,0.4288105782635537,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.6811812602362425,0.2905895295588945,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.8078215161017912,0.4288274084777027,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.7202200573450493,0.39372563786219167,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.808135006102875,0.43458142910293807,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.7049930648340633,0.3653398637878568,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.8076329993430355,0.4355254550071426,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.7514286051361383,0.371027968667262,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.8063105983628496,0.39868868132224156,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.7384124830650685,0.3650369165291558,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.8048466680910064,0.3885589697689757,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.7148583444671749,0.37900003572898544,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.8059585424591923,0.4720029577719628,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.7114516887410318,0.3008176690364266,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.8108180399086568,0.4124028105134093,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.7258884848276503,0.39187052312073756,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.8083598779105255,0.47524322241839656,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.7063948706859955,0.3257499602649251,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.8035100566400676,0.4501128240081417,multiclass,custom,tox
